"course_code","sdg_number","sdg_name","addressed","justification","timestamp"
"ZEIT2602","9","Industry, Innovation and Infrastructure","Yes","The course provides foundational knowledge in hydraulic engineering, which is essential for developing resilient infrastructure related to water systems and civil engineering.","2025-04-30 04:14:55.104077"
"ZEIT2602","11","Sustainable Cities and Communities","Yes","Understanding hydraulic engineering principles is vital for designing and managing water infrastructure within urban and rural settings, contributing to sustainable communities.","2025-04-30 04:14:55.104082"
"ZEIT2602","0","analysed","analysed","analysed","2025-04-30 04:14:55.106672"
"TABL5551","10","Reduced Inequalities","Yes","Taxation systems can play a role in reducing inequalities, and the course briefly outlines tax policy considerations.","2025-04-30 04:14:58.639471"
"ENTR9002","4","Quality Education","Yes","The course provides postgraduate education in business model and lean startup methodologies.","2025-04-30 04:15:01.861830"
"ENTR9002","8","Decent Work and Economic Growth","Yes","The course focuses on developing skills for launching new ventures and building sustainable startups, which contributes to economic growth and potential job creation.","2025-04-30 04:15:01.861842"
"ENTR9002","9","Industry, Innovation and Infrastructure","Yes","The course directly addresses innovation through the lean startup methodology and the development of new business models and products (MVPs).","2025-04-30 04:15:01.861847"
"ENTR9002","0","analysed","analysed","analysed","2025-04-30 04:15:01.863082"
"AVIG5911","4","Quality Education","Yes","The course provides postgraduate education and training for a Commercial Pilot Licence, contributing to skills development.","2025-04-30 04:15:05.151459"
"AVIG5911","9","Industry, Innovation and Infrastructure","Yes","The course is directly related to the aviation industry, providing training for pilots who are essential for transportation infrastructure.","2025-04-30 04:15:05.151471"
"AVIG5911","13","Climate Action","Yes","The Meteorology component of the course includes understanding weather patterns, which is relevant to climate and its impact on aviation.","2025-04-30 04:15:05.151474"
"AVIG5911","0","analysed","analysed","analysed","2025-04-30 04:15:05.152571"
"PTRL5022","4","Quality Education","Yes","The course provides postgraduate education in drilling systems design and optimisation.","2025-04-30 04:15:09.234656"
"PTRL5022","9","Industry, Innovation and Infrastructure","Yes","The course focuses on the design and optimisation of drilling systems, which are part of infrastructure development in the energy sector.","2025-04-30 04:15:09.234678"
"PTRL5022","0","analysed","analysed","analysed","2025-04-30 04:15:09.236098"
"GEOS1211","4","Quality Education","Yes","The course provides undergraduate education in Earth and Environmental Science.","2025-04-30 04:15:13.330642"
"GEOS1211","6","Clean Water and Sanitation","Yes","Topics include soil hydrology and groundwater science, which relate to water resources.","2025-04-30 04:15:13.330660"
"GEOS1211","9","Industry, Innovation and Infrastructure","Yes","Analysis of how geology relates to city development and human use of landscapes is relevant to infrastructure.","2025-04-30 04:15:13.330670"
"GEOS1211","11","Sustainable Cities and Communities","Yes","Analysis of how geology relates to city development and human use of landscapes is relevant to sustainable urban development.","2025-04-30 04:15:13.330677"
"GEOS1211","13","Climate Action","Yes","Understanding Earth's environmental processes and history is fundamental to understanding climate change.","2025-04-30 04:15:13.330684"
"GEOS1211","15","Life on Land","Yes","The course focuses on Earth's environment, including landscapes, soil, and geology, which are components of life on land.","2025-04-30 04:15:13.330691"
"GEOS1211","0","analysed","analysed","analysed","2025-04-30 04:15:13.332032"
"JURD7685","4","Quality Education","Yes","The course is a postgraduate level university course providing education on law, urban sustainability, and the new economy.","2025-04-30 04:15:17.452518"
"JURD7685","8","Decent Work and Economic Growth","Yes","The course explores ""diverse economies"" and the ""new economy,"" including sharing economies and platform governance, which relates to economic practices and potential career pathways.","2025-04-30 04:15:17.452535"
"JURD7685","9","Industry, Innovation and Infrastructure","Yes","The course discusses urban sustainability and the role of law and regulation in shaping cities, which relates to infrastructure and potentially innovation in urban development.","2025-04-30 04:15:17.452540"
"JURD7685","11","Sustainable Cities and Communities","Yes","The course description explicitly states that it explores the role of law and regulation in supporting sustainable cities and communities and begins with an overview of issues framed by","2025-04-30 04:15:17.452546"
"JURD7685","12","Responsible Consumption and Production","Yes","The course explores ""doughnut economics"" and ""circular economies,"" which are frameworks related to responsible consumption and production patterns.","2025-04-30 04:15:17.452553"
"JURD7685","13","Climate Action","Yes","The course description mentions climate change as one of the overlapping crises and discusses environmental outcomes related to economic practices.","2025-04-30 04:15:17.452558"
"JURD7685","16","Peace, Justice and Strong Institutions","Yes","The course focuses on the role of law and regulation in achieving sustainable cities, which directly relates to justice and strong institutions.","2025-04-30 04:15:17.452565"
"JURD7685","17","Partnerships for the Goals","Yes","The course aims to equip students to contribute to projects that advance regenerative economies and mentions multidisciplinary collaborations, which aligns with partnerships.","2025-04-30 04:15:17.452569"
"JURD7685","0","analysed","analysed","analysed","2025-04-30 04:15:17.453883"
"ZEIT4013","4","Quality Education","Yes","The course provides advanced technical education in hypersonics and advanced propulsion, contributing to specialized knowledge and skills.","2025-04-30 04:15:20.499316"
"ZEIT4013","9","Industry, Innovation and Infrastructure","Yes","The course focuses on the design of hypersonic systems and ground testing facilities, directly related to developing infrastructure and fostering innovation in aerospace engineering.","2025-04-30 04:15:20.499331"
"ZEIT4013","16","Peace, Justice and Strong Institutions","Yes","The course explicitly mentions the ""scientific, tactical, strategic, political, and societal aspects of hypersonic technologies,"" including ""hypersonic weapons system,"" indicating a discussion of the implications of these technologies on peace and security.","2025-04-30 04:15:20.499350"
"ZEIT4013","0","analysed","analysed","analysed","2025-04-30 04:15:20.500857"
"SENG3011","4","Quality Education","Yes","The course is a university-level software engineering workshop designed to teach students practical skills and theoretical knowledge.","2025-04-30 04:15:23.489853"
"SENG3011","8","Decent Work and Economic Growth","Yes","The course focuses on industry-standard software engineering practices, tools, and teamwork skills, directly preparing students for employment in the software industry.","2025-04-30 04:15:23.489868"
"SENG3011","9","Industry, Innovation and Infrastructure","Yes","The course involves developing software systems using modern technologies and tools, including cloud-based microservices and DevOps, contributing to infrastructure development and innovation.","2025-04-30 04:15:23.489872"
"SENG3011","17","Partnerships for the Goals","Yes","The course has industry sponsors (Atlassian, GitHub, AWS, Optiver, New Relic) and involves mentors with industry experience, demonstrating partnerships for achieving educational and professional development goals.","2025-04-30 04:15:23.489885"
"SENG3011","0","analysed","analysed","analysed","2025-04-30 04:15:23.491028"
"PHAR3101","3","Good Health and Well-being","Yes","The course focuses on drug discovery and development, which directly contributes to improving health outcomes and access to medicines.","2025-04-30 04:15:25.967707"
"PHAR3101","4","Quality Education","Yes","The course provides specialized education in pharmacology and drug development at the undergraduate level.","2025-04-30 04:15:25.967717"
"PHAR3101","8","Decent Work and Economic Growth","Yes","The course explores career options within the pharmaceutical industry, contributing to employment opportunities and economic activity in the sector.","2025-04-30 04:15:25.967721"
"PHAR3101","9","Industry, Innovation and Infrastructure","Yes","The course covers the process of drug discovery and development, which is a key aspect of innovation within the pharmaceutical industry.","2025-04-30 04:15:25.967723"
"PHAR3101","17","Partnerships for the Goals","Yes","The course highlights the collaborative nature of the pharmaceutical industry, involving different professional roles working together.","2025-04-30 04:15:25.967726"
"PHAR3101","0","analysed","analysed","analysed","2025-04-30 04:15:25.968634"
"LAWS8105","4","Quality Education","Yes","The course is a postgraduate level course providing specialized knowledge and skills in juvenile justice.","2025-04-30 04:15:28.384093"
"LAWS8105","5","Gender Equality","Yes","The course explicitly states it will investigate the social relations which mediate between the juvenile justice system and young people by focusing on gender.","2025-04-30 04:15:28.384105"
"LAWS8105","10","Reduced Inequalities","Yes","The course examines how social relations, including race and class, mediate the juvenile justice system, directly addressing inequalities.","2025-04-30 04:15:28.384109"
"LAWS8105","16","Peace, Justice and Strong Institutions","Yes","The entire course focuses on the juvenile justice system, its historical development, contemporary nature, and comparative analysis of law, policy, and practice, which directly relates to justice and strong institutions.","2025-04-30 04:15:28.384113"
"LAWS8105","0","analysed","analysed","analysed","2025-04-30 04:15:28.385378"
"GMAT3150","4","Quality Education","Yes","The course provides specialized technical education in surveying, including field methods, instrumentation, and data processing.","2025-04-30 04:15:30.636609"
"GMAT3150","9","Industry, Innovation and Infrastructure","Yes","The course focuses on surveying techniques essential for infrastructure development (road design and set-out) and potentially other engineering projects.","2025-04-30 04:15:30.636623"
"GMAT3150","11","Sustainable Cities and Communities","Yes","Surveying is a fundamental component of urban and rural planning and development, which is necessary for creating sustainable communities.","2025-04-30 04:15:30.636628"
"GMAT3150","0","analysed","analysed","analysed","2025-04-30 04:15:30.637815"
"ZBUS8101","4","Quality Education","Yes","The course is a postgraduate level course providing education in strategic management.","2025-04-30 04:15:32.703598"
"ZBUS8101","8","Decent Work and Economic Growth","Yes","The course focuses on strategic management for organizational success in commercial environments, which contributes to economic growth and potentially decent work through effective business practices.","2025-04-30 04:15:32.703618"
"ZBUS8101","9","Industry, Innovation and Infrastructure","Yes","The course includes topics on industry analysis, technology-based industries, and the management of innovation, directly relating to this","2025-04-30 04:15:32.703627"
"ZBUS8101","12","Responsible Consumption and Production","Yes","The course explicitly addresses corporate social responsibility in strategic management, which aligns with responsible business practices.","2025-04-30 04:15:32.703636"
"ZBUS8101","0","analysed","analysed","analysed","2025-04-30 04:15:32.704990"
"CHEM3011","4","Quality Education","Yes","The course provides advanced education in physical and computational chemistry.","2025-04-30 04:15:35.552150"
"CHEM3011","0","analysed","analysed","analysed","2025-04-30 04:15:35.552853"
"ZBUS1101","4","Quality Education","Yes","The course provides undergraduate education in Organisational Behaviour, contributing to quality education.","2025-04-30 04:15:39.033561"
"ZBUS1101","5","Gender Equality","Yes","The course includes a topic on ""Privilege, Diversity and Inclusion,"" which is relevant to promoting gender equality within organisations.","2025-04-30 04:15:39.033572"
"ZBUS1101","8","Decent Work and Economic Growth","Yes","The course focuses on understanding human behaviour in organisational settings, managing people, and the future of work, all of which are directly related to promoting decent work and economic growth.","2025-04-30 04:15:39.033576"
"ZBUS1101","10","Reduced Inequalities","Yes","The course includes a topic on ""Privilege, Diversity and Inclusion,"" which directly addresses reducing inequalities within organisations and society.","2025-04-30 04:15:39.033579"
"ZBUS1101","16","Peace, Justice, and Strong Institutions","Yes","The course aims to equip students with knowledge and skills to understand organisational behavioural challenges and generate solutions to overcome them, which can contribute to stronger and more just institutions.","2025-04-30 04:15:39.033582"
"ZBUS1101","0","analysed","analysed","analysed","2025-04-30 04:15:39.034912"
"MUSC2802","4","Quality Education","Yes","The course is specifically designed to train students in music studio teaching, contributing to quality education in the arts.","2025-04-30 04:15:40.671425"
"MUSC2802","10","Reduced Inequalities","Yes","The attendance requirements mention engaging sensitively with diverse cultural perspectives and incorporating principles of equity, diversity, and inclusion.","2025-04-30 04:15:40.671436"
"MUSC2802","16","Peace, Justice and Strong Institutions","Yes","The attendance requirements mention acting ethically, respectfully, and responsibly, and adhering to professional and regulatory frameworks.","2025-04-30 04:15:40.671439"
"MUSC2802","0","analysed","analysed","analysed","2025-04-30 04:15:40.672520"
"COMP9021","4","Quality Education","Yes","The course provides postgraduate education in programming principles and Python, contributing to quality education.","2025-04-30 04:15:44.015421"
"COMP9021","0","analysed","analysed","analysed","2025-04-30 04:15:44.016585"
"VISN2211","3","Good Health and Well-being","Yes","The course focuses on the organisation and function of the visual system, which directly relates to understanding and addressing vision-related health issues.","2025-04-30 04:15:46.508666"
"VISN2211","4","Quality Education","Yes","The course is a university-level course providing specialized education in vision science and optometry.","2025-04-30 04:15:46.508680"
"VISN2211","0","analysed","analysed","analysed","2025-04-30 04:15:46.509966"
"SOLA5051","4","Quality Education","Yes","The course is a postgraduate and undergraduate level course providing technical education in Life Cycle Assessment.","2025-04-30 04:15:49.478376"
"SOLA5051","7","Affordable and Clean Energy","Yes","The course focuses on applying Life Cycle Assessment to assess renewable energy technologies and systems.","2025-04-30 04:15:49.478389"
"SOLA5051","9","Industry, Innovation and Infrastructure","Yes","The course teaches a methodology (LCA) used in industry and involves guest lectures from industry experts.","2025-04-30 04:15:49.478394"
"SOLA5051","12","Responsible Consumption and Production","Yes","Life Cycle Assessment is a tool for assessing environmental impacts of products and systems from a life cycle perspective, directly supporting responsible consumption and production.","2025-04-30 04:15:49.478398"
"SOLA5051","13","Climate Action","Yes","Assessing the environmental impacts of energy systems, particularly renewable energy, contributes to understanding and mitigating climate change.","2025-04-30 04:15:49.478401"
"SOLA5051","0","analysed","analysed","analysed","2025-04-30 04:15:49.479627"
"SWCH9004","3","Good Health and Well-being","Yes","The course focuses on clinical reproductive medicine and the management of infertility, directly contributing to improving health outcomes related to reproductive health.","2025-04-30 04:15:51.116758"
"SWCH9004","4","Quality Education","Yes","The course is a postgraduate level program providing specialized education in clinical reproductive medicine.","2025-04-30 04:15:51.116772"
"SWCH9004","0","analysed","analysed","analysed","2025-04-30 04:15:51.118078"
"ZEIT8029","4","Quality Education","Yes","The course provides postgraduate-level technical education in mobile network and memory forensics.","2025-04-30 04:15:53.638509"
"ZEIT8029","9","Industry, Innovation and Infrastructure","Yes","The course focuses on technical aspects of mobile networks and digital infrastructure through forensic analysis.","2025-04-30 04:15:53.638525"
"ZEIT8029","16","Peace, Justice and Strong Institutions","Yes","The course directly addresses forensic investigation of illicit activity, legal requirements, chain of custody, evidence handling, and presenting evidence to non-technical audiences, all contributing to justice and strong institutions.","2025-04-30 04:15:53.638530"
"ZEIT8029","0","analysed","analysed","analysed","2025-04-30 04:15:53.639968"
"INFS3020","4","Quality Education","Yes","The course provides undergraduate-level education in Information Systems and Technology, focusing on developing business knowledge, problem-solving skills, and employability.","2025-04-30 04:15:56.953733"
"INFS3020","8","Decent Work and Economic Growth","Yes","The course aims to increase students' employability through the development of desirable work-ready skills and experience, and exposes them to international business operations and IS/IT trends.","2025-04-30 04:15:56.953752"
"INFS3020","9","Industry, Innovation and Infrastructure","Yes","The course focuses on Information Systems and Technology, including topics like AI, blockchain, IoT, business analytics, and e-commerce, and examines their impact on business operations and systems.","2025-04-30 04:15:56.953756"
"INFS3020","17","Partnerships for the Goals","Yes","The course involves an international study tour to Asian-Pacific countries, fostering cross-cultural understanding and potentially leading to international collaborations and partnerships in the business and technology sectors.","2025-04-30 04:15:56.953761"
"INFS3020","0","analysed","analysed","analysed","2025-04-30 04:15:56.955097"
"CODE2170","4","Quality Education","Yes","The course provides technical education and skills development in Building Information Modelling (BIM), contributing to quality education in the built environment field.","2025-04-30 04:15:59.205887"
"CODE2170","9","Industry, Innovation and Infrastructure","Yes","The course focuses on Building Information Modelling (BIM), a key technology for improving infrastructure development and promoting innovation in the construction industry.","2025-04-30 04:15:59.205924"
"CODE2170","11","Sustainable Cities and Communities","Yes","The course includes generating ""high-performance building design through Building Information Modelling (BIM) analysis"" and mentions ""BIM and Sustainability,"" directly relating to creating sustainable built environments.","2025-04-30 04:15:59.205928"
"CODE2170","0","analysed","analysed","analysed","2025-04-30 04:15:59.207014"
"ZEIT4297","0","analysed","analysed","analysed","2025-04-30 04:16:00.638606"
"MICR3621","0","analysed","analysed","analysed","2025-04-30 04:16:02.998508"
"SOSS3008","0","analysed","analysed","analysed","2025-04-30 04:16:04.020099"
"ARTS2066","0","analysed","analysed","analysed","2025-04-30 04:16:04.737156"
"ECON4100","0","analysed","analysed","analysed","2025-04-30 04:16:05.555862"
"PHYS4200","4","Quality Education","Yes","The course provides undergraduate students with research experience in physics, contributing to their education.","2025-04-30 04:16:07.486739"
"PHYS4200","9","Industry, Innovation and Infrastructure","Yes","The course involves research in contemporary physics, which can contribute to innovation and potentially impact industry and infrastructure development.","2025-04-30 04:16:07.486743"
"PHYS4200","17","Partnerships for the Goals","Yes","The course involves students working with academic staff and potentially other researchers, fostering partnerships in research.","2025-04-30 04:16:07.486744"
"PHYS4200","0","analysed","analysed","analysed","2025-04-30 04:16:07.487161"
"EDST5433","4","Quality Education","Yes","The course focuses on organisation theory in education, aiming to enhance the practice of leaders in education organisations to operate efficiently, effectively, and responsibly. This directly contributes to improving the quality of education.","2025-04-30 04:16:10.879658"
"EDST5433","16","Peace, Justice and Strong Institutions","Yes","The course examines organisation theory, including bureaucracy and alternative theories, and considers aspects like organisational effectiveness and policy implementation. This knowledge is relevant to building effective and responsible educational institutions.","2025-04-30 04:16:10.879667"
"EDST5433","0","analysed","analysed","analysed","2025-04-30 04:16:10.880556"
"EDST5325","4","Quality Education","Yes","The course is a postgraduate program focused on advanced professional practice in TESOL, directly contributing to the training and development of educators.","2025-04-30 04:16:15.085718"
"EDST5325","10","Reduced Inequalities","Yes","By focusing on TESOL (Teaching English to Speakers of Other Languages), the course aims to improve educational opportunities and outcomes for individuals from diverse linguistic backgrounds, contributing to reduced inequalities in education.","2025-04-30 04:16:15.085735"
"EDST5325","0","analysed","analysed","analysed","2025-04-30 04:16:15.087281"
"CDEV3300","4","Quality Education","Yes","The course provides work-integrated learning and develops professional and personal skills.","2025-04-30 04:16:17.467433"
"CDEV3300","8","Decent Work and Economic Growth","Yes","The course focuses on global practice of work, internships, and developing professional skills for employment.","2025-04-30 04:16:17.467451"
"CDEV3300","17","Partnerships for the Goals","Yes","The course involves working directly with international partner organisations.","2025-04-30 04:16:17.467468"
"CDEV3300","0","analysed","analysed","analysed","2025-04-30 04:16:17.468757"
"IEST7600","4","Quality Education","Yes","The course is a postgraduate level course providing education on Indigenous knowledge and conservation.","2025-04-30 04:16:20.711159"
"IEST7600","10","Reduced Inequalities","Yes","The course focuses on integrating Indigenous and local knowledge systems with Western science, addressing historical power imbalances and promoting equitable partnerships.","2025-04-30 04:16:20.711177"
"IEST7600","13","Climate Action","Yes","The course description explicitly mentions addressing global crises including climate disruption.","2025-04-30 04:16:20.711184"
"IEST7600","15","Life on Land","Yes","The course focuses on conservation, caring for Country, land restoration, and addressing issues like large scale extinctions and bushfires.","2025-04-30 04:16:20.711189"
"IEST7600","16","Peace, Justice and Strong Institutions","Yes","The course discusses ethical and equitable ways of integrating knowledge systems and building inclusive science policy, which relates to justice and potentially stronger institutions through collaboration.","2025-04-30 04:16:20.711192"
"IEST7600","17","Partnerships for the Goals","Yes","The course is centered around Indigenous knowledge partnerships in conservation and caring for Country, directly aligning with the concept of partnerships for sustainable development.","2025-04-30 04:16:20.711196"
"IEST7600","0","analysed","analysed","analysed","2025-04-30 04:16:20.712374"
"SCIF1004","4","Quality Education","Yes","The course provides general education in science and critical thinking skills.","2025-04-30 04:16:23.064797"
"SCIF1004","7","Affordable and Clean Energy","Yes","The course mentions learning about ""alternative source of energy"" in the context of movies.","2025-04-30 04:16:23.064803"
"SCIF1004","13","Climate Action","Yes","The course mentions learning about ""climate change"" in the context of movies.","2025-04-30 04:16:23.064806"
"SCIF1004","15","Life on Land","Yes","The course mentions learning about ""genetically modified organisms"" and ""Jurassic Park"" which relates to biodiversity.","2025-04-30 04:16:23.064807"
"SCIF1004","0","analysed","analysed","analysed","2025-04-30 04:16:23.065328"
"LAND7201","4","Quality Education","Yes","The course is a postgraduate studio providing education in landscape architecture and urban design.","2025-04-30 04:16:25.932455"
"LAND7201","9","Industry, Innovation and Infrastructure","Yes","The course focuses on the design and planning of urban public realm, which is a key component of infrastructure.","2025-04-30 04:16:25.932474"
"LAND7201","10","Reduced Inequalities","Yes","The course mentions considering issues of social equity in public realm design.","2025-04-30 04:16:25.932476"
"LAND7201","11","Sustainable Cities and Communities","Yes","The core focus of the course is the strategic planning and design of the urban public realm, directly contributing to creating sustainable cities. It also mentions considering environmental sustainability.","2025-04-30 04:16:25.932480"
"LAND7201","15","Life on Land","Yes","The course mentions considering ""nature, and biodiversity"" in Week 2 content.","2025-04-30 04:16:25.932486"
"LAND7201","0","analysed","analysed","analysed","2025-04-30 04:16:25.933921"
"IEST6001","4","Quality Education","Yes","The course is a postgraduate level course providing education in permaculture principles and practice.","2025-04-30 04:16:29.209005"
"IEST6001","6","Clean Water and Sanitation","Yes","The course includes integrating the key principles of water in permaculture design.","2025-04-30 04:16:29.209011"
"IEST6001","11","Sustainable Cities and Communities","Yes","The course focuses on applying permaculture design methodology to urban/suburban settings and designing communities and cities.","2025-04-30 04:16:29.209014"
"IEST6001","12","Responsible Consumption and Production","Yes","Permaculture principles emphasize using a fair share of resources and regenerative practices.","2025-04-30 04:16:29.209016"
"IEST6001","13","Climate Action","Yes","The course highlights permaculture's role in the rapid transition to zero carbon or net negative carbon.","2025-04-30 04:16:29.209017"
"IEST6001","14","Life Below Water","Yes","The course mentions Zone 5 Natural forests and oceans in the context of permaculture design.","2025-04-30 04:16:29.209019"
"IEST6001","15","Life on Land","Yes","The course is fundamentally about ecological restoration, soil, plants, trees, forests, and integrating human settlements with nature.","2025-04-30 04:16:29.209021"
"IEST6001","0","analysed","analysed","analysed","2025-04-30 04:16:29.209692"
"ACCT5919","4","Quality Education","Yes","The course is a postgraduate level course providing specialized education in Business Risk Management.","2025-04-30 04:16:32.487520"
"ACCT5919","8","Decent Work and Economic Growth","Yes","The course focuses on managing business risks for organizational sustainability and value creation, which contributes to economic growth and potentially better working conditions through improved business practices.","2025-04-30 04:16:32.487533"
"ACCT5919","9","Industry, Innovation and Infrastructure","Yes","The course addresses risks associated with evolving technology and innovation, and the management of organizational structure and processes, which are relevant to industry and infrastructure.","2025-04-30 04:16:32.487538"
"ACCT5919","12","Responsible Consumption and Production","Yes","The course's focus on organizational sustainability and responsible business practice (PLO5) aligns with the principles of responsible consumption and production.","2025-04-30 04:16:32.487542"
"ACCT5919","16","Peace, Justice and Strong Institutions","Yes","The course covers corporate governance, regulatory/legal requirements, and managing fraud and corruption risk, which are relevant to building strong institutions and promoting justice.","2025-04-30 04:16:32.487546"
"ACCT5919","0","analysed","analysed","analysed","2025-04-30 04:16:32.488820"
"COMD5000","1","No Poverty","Yes","The course examines the role of NGOs and civil society in global development, which inherently includes addressing poverty. Resources like the World Bank's 'Africa Can End Poverty' blog and the Oxford Poverty & Human Development Initiative's Multidimensional Poverty Index are listed.","2025-04-30 04:16:37.153786"
"COMD5000","3","Good Health and Well-being","Yes","The course mentions the relevance to Public Health degrees and includes a case study discussion around a film screening re MSF (Doctors Without Borders) in West Africa, which relates to health in complex emergencies.","2025-04-30 04:16:37.153805"
"COMD5000","4","Quality Education","Yes","This is a postgraduate university course providing education on global development, NGOs, and civil society.","2025-04-30 04:16:37.153810"
"COMD5000","5","Gender Equality","Yes","The course explicitly states it will explore the interfaces of NGOs and civil society with gender. Resources from the OECD and World Bank on gender data are also listed.","2025-04-30 04:16:37.153815"
"COMD5000","8","Decent Work and Economic Growth","Yes","The course examines the role of NGOs and civil society in development activities and processes, which can include promoting decent work and economic growth. Resources like the IMF and World Bank data are relevant.","2025-04-30 04:16:37.153825"
"COMD5000","10","Reduced Inequalities","Yes","The course explores the role of civil society and NGOs in addressing global challenges and promoting social justice, which directly relates to reducing inequalities. Resources like the World Income Inequality Database are listed.","2025-04-30 04:16:37.153831"
"COMD5000","16","Peace, Justice and Strong Institutions","Yes","The course examines the role of civil society and NGOs in development, human rights, and humanitarian settings, which are directly linked to promoting peace, justice, and strong institutions. The Global Peace Index is also listed as a resource.","2025-04-30 04:16:37.153846"
"COMD5000","17","Partnerships for the Goals","Yes","The course focuses on the role of civil society and NGOs and their links with other development actors and their relationship to the sustainable development goals (","2025-04-30 04:16:37.153851"
"COMD5000","0","analysed","analysed","analysed","2025-04-30 04:16:37.155205"
"ECON3121","4","Quality Education","Yes","The course is a university-level economics course providing specialized knowledge in industrial organization.","2025-04-30 04:16:41.701731"
"ECON3121","8","Decent Work and Economic Growth","Yes","The course studies the behavior of firms and industries, market structures, and competition, which are directly relevant to economic growth and the functioning of markets that support decent work.","2025-04-30 04:16:41.701741"
"ECON3121","9","Industry, Innovation and Infrastructure","Yes","The course focuses on the behavior of firms and industries, including topics like market structures, product differentiation, and entry, which are fundamental to understanding industry dynamics and innovation.","2025-04-30 04:16:41.701745"
"ECON3121","12","Responsible Consumption and Production","Yes","CLO6 explicitly mentions identifying and assessing the social consequences of managerial decisions and producing suggestions for policy makers, which can relate to responsible business practices.","2025-04-30 04:16:41.701749"
"ECON3121","16","Peace, Justice and Strong Institutions","Yes","CLO6 includes producing suggestions to policy makers, implying an understanding of how economic principles can inform policy and potentially contribute to stronger institutions and regulatory frameworks.","2025-04-30 04:16:41.701752"
"ECON3121","0","analysed","analysed","analysed","2025-04-30 04:16:41.702769"
