course_code,course_name
JURD7325,Advanced Contract Law
PHCM9041,Foundations in Public Health and Health Care Systems
LING5027,Research Methods in Linguistics
AERO4620,"Dynamics of Aerospace Vehicles, Systems and Avionics"
LAWS8220,International Financial Law
AGSM9150,Digital Innovation (WEB Weekly)
FINS5539,"Estate, Retirement Planning and Asset Protection"
BIOM9701,Dynamics of the Cardiovascular System
AGSM9164,Sustainable Value Chains and Business Models (Virtual Weekly)
CEIC2009,Material and Energy Balances in the Chemical Process Industry
SWCH9014,Antenatal Care
MATH2801,Theory of Statistics
EDST1143,Foundations of History and Geography in Education
MATS6107,Thermal Properties of Ceramics
JURD7716,Food Law
LAWS3541,Pacific Islands Laws (USP)
PATH3205,Molecular Basis of Disease
FINS2643,Wealth Management and Client Engagement
INTA1003,Interior Architecture Composition 3
EDST6755,Mathematics Method 2
ELEC3705,Fundamentals of Quantum Engineering
JURD7492,Children and the Law
PHCM2100,Appraising and Applying Evidence for Allied Health Practice
MDIA5022,Organisational Communication
DDES9015,Creativity and Entrepreneurship
ZEIT8513,"Rocket Motors, Propellants, and Pyrotechnics"
FOOD1130,Sustainable Food Product Manufacturing
ACTL3143,Artificial Intelligence and Deep Learning Models for Actuarial Applications
AGSM9137,Advanced Finance (WEB Weekly)
ARTS3015,Media and Arts Internship
BLDG1013,Introduction to Construction Management & Property
PLAN3008,Planning Practice: Consultation and Communication
JURD7482,Conflict of Laws
ZEIT8042,Introduction to Exploit Development
LAND7202,Master Landscape Studio 4: Constructed Ecologies
ZBUS1103,Introduction to Accounting
ARTS1631,Japanese 2
PHYS1121,Physics 1A
LAWS8328,Migration and Citizenship Law
AGSM9140,Global Finance (WEB Weekly)
ACTL3141,Modelling and Prediction of Life and Health Related Risks
FOOD8010,Food Products and Ingredients Technology
ZEIT8236,System Safety Engineering
ARTS2283,Classical Greece
MICR3061,Viruses and Disease
ENGG3741,Introduction to Nuclear Engineering
IDES2325,Industrial Design Theory A: Human Factors in Product Design
DART3120,Painting 3: Advanced Practice
AERO3410,Aerospace Structures
ZEIT2102,Computer Technology
ZEIT2105,Systems Analysis and Design
MATH2901,Higher Theory of Statistics
ZBUS8316,Developing Organisational Capability
CVEN4404,Fundamentals of Traffic Engineering
INFS3303,Industry Placement 3
PLTX1120,Administrative Law Practice
MARK5813,New Product and Service Development
MFIN6205,Financial Risk Management for Financial Institutions
MDIA5100,Industry Internship
BABS3301,Biomolecular Science Laboratory Project (Advanced)
CHEM3061,Chemistry of Materials
CHEM2031,Inorganic Chemistry: The Elements
CVEN4301,Advanced Concrete Structures
MARK3089,Pricing Analytics
NEUR3221,Neurophysiology
SOCF5110,Professional Practice Research Project
AVIA2011,Advanced Human Factors
ACCT4851,Current Developments in Accounting Research - Financial
MGMT5610,International Business Consulting Practicum
GEOS3911,Environmental Impact Assessment
COMP3421,Computer Graphics
MGMT5611,Entrepreneurship and New Venture Management
OPTM6412,Clinical Optometry 4A
CHEM2051,Analytical Chemistry for the Pharmaceutical Sciences
MATH5175,Special Topics in Applied Mathematics A
BABS3200,Synthetic Biology
ECON5301,Markets and Frictions
ZZCA6510,Decision Making in Analytics
ARTS3065,Screen Emotions: Affect and Cinema
LING5001,Second Language Acquisition
REST0010,Property Industry Application
BIOM9551,Rehabilitation Engineering and Assistive Technology
FOOD8320,Food Microbiology
ZEIT8028,Digital Forensics
PATH2202,Processes in Disease for Health and Exercise Science
DART1131,Experimental Photography
COMP6131,Software Security Analysis
FADA6700,ADA Professional Placement
ARTS3023,Fiction Writing
ARTS3463,City and Chinese Culture
SOLA9104,Hybrid Renewable Energy Systems
LAND2411,Landscape Studio 8: Urban Landscape Design
COMM1150,Global Business Environments
ARTS3900,Feminist and Queer Theory: Histories and Debates
JURD7369,Natural Resources Law
CHEM1811,Engineering Chemistry 1A
GSOE9445,Entrepreneurial Engineering
CHEM3041,Advanced Analytical Methods
MECH3610,Advanced Thermofluids
SOSS3003,Policy Analysis
ACCT5943,Advanced Financial Reporting
JURD7376,Current Issues in Criminal Justice
EDST6736,Geography Method 2
DART2341,"Art, Exhibitions, and Institutions"
BEIL0015,Digital Design Foundations
BEES3299,BEES Work Placement 2
SOSS2822,Decolonising Research Methods
CRIM2031,Indigenous Perspective in Criminal Justice
CEIC9451,Postgraduate Research Project A
EDST5808,Key Concepts and Issues in Gifted Education
MSCI0501,The Marine Environment
DART2213,Introduction to Motion Capture
SCIF0000,Introduction to University
GEOS2821,Introduction to GIS and Remote Sensing
ZEIT1800,Introduction to Aviation Technology
CHEM2901,Environmental Chemistry and Sustainability
JURD7449,Theories of Law and Biology
ZEIT8403,Capability Option Analysis
ECON2107,Modern Labour Markets: Theory and Policy
ZEIT3223,Embedded Systems
FOOD1120,"Food Science, Society and Sustainability"
EDST6783,History and Geography (K-6)
ARTS3453,Chinese 8
MUSC3805,Electroacoustic Music
ZEIT8031,Reliability Engineering Fundamentals
MATS1110,Introduction to Materials for Engineering Applications
INTA3002,Interior Architecture Critical Perspectives 2
ZEIT8239,Systems Engineering Project
CEIC4001,Process Design Project
LAWS8079,International Investment Law
ECON3127,Environmental Economics
PHCM3001,Ethics in Public Health
ARTS1782,Contemporary Europe in Crisis: Power and Culture
EDST6926,Biology Method 1
ECON2206,Introductory Econometrics
MERE4952,Research Thesis B
MGMT2001,Managing Innovation and Organisational Change
ZEIT3404,Simulation
JURD7585,International Organisations
ZPEM3208,Geographic Research Methods
BLDG1021,Industrial & Infrastructure Construction
ARCH1361,Architectural Science and Building Environment 2
VISN1101,Seeing the World: Perspectives from Vision Science
DART1130,Photography 1: Foundations
ACTL4002,Actuarial Theory and Practice B
LAWS2270,Law in the Global Context
LAWS1022,Criminal Laws
ARTS3451,Chinese 6
INFS2822,Programming for Data Analytics
TABL5523,GST and Indirect Taxes
BENV1043,Multimedia in Design Presentation
COMP4128,Programming Challenges
IDES1314,Industrial Design Communications A: Analogue Visualisation
OPTM6423,Therapeutics and the Posterior Eye
FINS5544,Sustainable Finance
SAHT9117,Contemporary Curating: Theories and Practices
LAWS8168,The Australian Legal System in Comparative Perspective
JURD7487,International Law and the Use of Force
PSYC1001,Psychology 1A
BABS3281,Molecular Frontiers
JURD7175,Contracts
ARTS1211,Australia's Asian Context
SOSS1001,Social Research and Society
OPTM3201,Ocular Imaging & Applied Vision Science
ZEIT3902,Engineering Research 3B
ZPEM1504,Engineering Physics 1B
CVEN4503,Groundwater Resource Investigation
BEIL6011,Street Life Studies: Cambodia
MATS2006,Diffusion and Kinetics
EDST6925,Chemistry Method 1
MNGT5388,"Negotiation Skills (Full- time - Virtual Weekly, Session 3, Kensington)"
MATS6110,Computational Materials Science
LAWS3396,Family Law Advocacy and Practice
MATH5191,Mathematical Optimization for Data Science
NEUR4421,Biomedical Perspectives in Neuroscience
JURD7380,Insurance Law
DDES3200,Design History and Theory 4
MERE6001,Sedimentary and Energy Resources Geology
COMM5020,Global Business Practicum
PHCM2007,Health Leadership
COMM5203,Social and Environmental Outcomes Measurement
CVEN2101,Engineering Construction
ECON5304,International Macroeconomics
COMP6445,Digital Forensics
ARCH1101,Architectural Design Studio 1
MARK3202,Industry Placement 2
BIOM4952,Research Thesis B
INFS5831,Information Systems Consulting
ARTS1190,"Sydney: History, Landscapes, People"
ZBUS8109,Business Law
ZEIT4604,Hydrology and Environmental Engineering Practice
PLAN7141,Land Use Policy & Practice
EDST6954,Earth and Environmental Science Method 2
TELE9756,Advanced Networking
POLS5122,The International Political Economy
ZEIT2803,Introduction to Human Factors in Aviation
EDST6730,Chinese Method 2
MATS3004,Polymer Science and Engineering 1
JURD7627,Law Schools Global League Summer School
ZEIT4750,Ship Design 1
ZZCA9206,Cyber Risk and Resilience
DDES9017,Design Studio Project 2: Final Design
ARTS2820,Justice
JURD7516,Sport and the Law
AGSM9141,Mergers and Acquisitions (Virtual Weekly)
JURD7414,Insolvency Law
SAHT9118,Capstone Project
INFS5777,Web3 and Blockchain Applications
MARK2101,Industry Placement 1
GENL2033,"Big Tech, AI and the Law"
ZEIT3220,Engineering Electromagnetics
ZEIT4115,Computing and Cyber Security Honours Research 1
COMP9101,Algorithm Design and Analysis
ARTS2480,French 3
PTRL4021,Petroleum Production Engineering
ZEIT8035,Cyber Terrorism
JURD7823,Research Thesis: 6 Units of Credit
TABL5543,Business and Company Law
BIOM4953,Research Thesis C
PLAN2007,City Building: Transport and Infrastructure
DDES9911,Future Immersive Learning Methodologies
MSCI9001,Conservation in Aquatic Ecosystems
ZEIT3601,Environmental Engineering
ZEIT8226,Systems Engineering Practice
FOOD3060,Food Processing Principles
COMM5615,Systems Thinking and Business Dynamics
ARTS3810,Politics & International Relations: Theory and Practice
BENV2938,Transport Planning
ECON5258,Introductory Economics and Data Analysis for Business Professionals
PHSL2221,Principles of Physiology B
ARTS2244,"The Animal: Worker, Wild, Extinct?"
MDIA3011,"Communication Design: Multimodality, Meaning, and Media"
EDST5134,Addressing Special Needs
AGSM9156,Entrepreneurship and Innovation (WEB Weekly)
ARTS3245,Urban Environments
ARCH1331,Architectural Fabrication
PTRL9100,Petroleum Design Practice
MATH3311,Computational Mathematics for Finance
PHYS4145,Physics Honours Research B
AVIA3114,"Air Transport Air Law, Meteorology and Human Factors"
PHCM2005,Principles of Prevention and Public Health Surveillance
ATSI2004,Popular Culture of Indigenous Australia
DART2221,Visual Effects 3
MGMT2002,Managing Business Communication
PSYC3331,Health Psychology
ZHSS1401,"International and Political Studies 1A: Ideals, Interests and Power"
REST0006,Property Development and Feasibility Analysis
MINE8940,Mine Slope Monitoring Technologies
MDIA5002,Multiplatform and Audiovisual Journalism
CVEN4405,Human Factors in Civil and Transport Engineering
GSOE9010,Engineering Postgraduate Coursework Research Skills
PSYC1024,"Clinical Perspectives on Anxiety, Mood and Stress"
BIOM9027,Medical Imaging
SAHT9122,Audience Engagement
JURD7751,Taxation Law
SOLA2051,Project in Photovoltaics and Renewable Energy
DART1120,Painting 1: Foundations
PHYS9130,Electromagnetism for Teachers
CEIC6712,Pharmaceutical Design and Engineering
DART3101,Studio Art Practice 6
CONS0023,Construction Cost and Value Management
ECON3210,Big Data Econometrics
EDST6782,Early Reading Instruction
MATH1011,Fundamentals of Mathematics B
JURD7741,"Censorship, Contempt and the Media"
PSYC7224,Professional and Ethical Practice (Clinical) 2
PSYC1023,Abnormal Psychology
ARTS2511,German 4
GEOS1111,Investigating Earth and Its Evolution
JURD7413,Housing Law
JURD7639,Law and the Culture Industries
COMM1140,Financial Management
DART2211,Animation 3
ZEIT4007,Rotorcraft Engineering
LAWS1213,Foundations Enrichment 1
COMM5703,Social Impact Investment
ARTS2510,German 3
SOCW7851,Community Development
GEOS2241,Electrify Everything: Sustainable Solutions to Climate Change
PHCM9781,Evidence- informed Decision- making
EDST6781,Teaching English in K-6
DART9200,Major Exhibitions and Events
ADAD9406,Creative Experimentation
LAND1322,Urban Landscape Design Seminar
MARK8995,Business Research Methods in Marketing
INFS3603,Introduction to Business Analytics
PHYS9140,Modern and Thermal Physics for Teachers
BENV1015,History of Design Thinking
MGMT3701,Regulating Work and Employment
GENS4015,"Brave New World: Science Fiction, Science Fact and the Future"
PLAN7143,Urban Design
LAWS3362,Understanding Human Rights
ARTS2485,Exploring French Linguistics
ELEC3114,Control Systems
ARTS1122,Creativity
MATS3001,Micromechanisms of Mechanical Behaviour of Metals
ELEC3117,Electrical Engineering Design
DART1111,Life Drawing
ZBUS3104,Business Capstone
HUMS1011,Experiencing Sydney Crime
PSYC7237,Neuropsychology Professional and Ethical Practice 1 (NPEP1)
OPTM6411,Contact Lenses
INFS1701,Introduction to Networking and Security
LAWS8319,International Environmental Law
LAWS8203,Global Issues in Competition Law and Policy
DDES1061,Commercial Textile Design
MUSC1801,Music Craft 1
BABS2204,Genetics
MARK5821,Brand Management
MERE5001,Sedimentary and Energy Resources Geology
JURD7689,World Trade Law: Contemporary Issues and Concerns
LAWS3327,Law Schools Global League Summer School
ZBUS1102,Business Economics
PHYS3115,Particle Physics and the Early Universe
PSYC7210,Clinical Neuropsychology
ZEIT3103,Digital Forensics
LAWS8080,Insurance Law
PPEC2001,Philosophy and the Market
MINE8680,Geotechnical Data Collection and Analysis
SWCH9005,Clinical Reproductive Medicine 2
EDST6779,Mathematics 1 (Years K-2)
PLAN2005,Planning Law & Administration
MATH2301,Mathematical Computing
OPTM6424,Professional Optometry
MATH3121,Mathematical Methods and Partial Differential Equations
ELEC9771,Project Report A
ACTL5109,Financial Economics for Insurance and Superannuation
ARTS2909,Gender in South Asia and Southeast Asia
ACCT5952,Current Developments in Accounting Research - Managerial
ACCT3601,Global Financial Reporting and Analysis
COMP3121,Algorithm Design and Analysis
MATS3002,Fundamentals of Ceramic Processing
MERE5002,Seismic Imaging
ARTS2240,"Environment, Sustainability and Development"
ENGG4111,Energy Storage
CEIC2000,Material and Energy Systems
FINS5546,Toolkit for Financial Market Decisions
ELEC9713,Industrial and Commercial Power Systems
CHEM1041,"Higher Chemistry 1B: Elements, Compounds and Life"
DART3340,Art and Activism
RISK5009,Risk Management Strategies
FOOD3020,Food Properties and Functions Laboratory
ZPEM3528,Nuclear Physics
ZEIT8008,Space Systems Design
BIOS2011,Evolutionary and Physiological Ecology
ZPEM1303,Engineering Mathematics 1A
ZEIT4014,Impact Dynamics
EDST5120,Advanced Qualitative Research
SOCF5108,Therapeutic Contexts and Relationships
MATS6109,Polymer Materials Science
AVIA5015,Safety Management Systems
EDST6760,Professional Experience 1
COMP9222,Digital Circuits and Systems
ZEIT8037,Cyber Security Risk Management
MNGT5282,"Strategy (Full-time, Session 2, Kensington)"
ELEC4621,Advanced Digital Signal Processing
DDES9141,Graphic Design Foundations
INFS5917,Managing Cloud and Network Security
EDST6957,Chemistry/ Biology Method 2
COMM1190,"Data, Insights and Decisions"
ELEC3115,Electromagnetic Engineering
COMP9283,Extended Operating Systems
BENV2942,Rural Planning
PLAN3007,Planning Practice: Institutions and Implementation
COMP9517,Computer Vision
ARTS1452,Chinese 1 for Background Speakers
ZEIT3218,Communication Systems
MINE3510,Mine Ventilation
IDES4111,Advanced Studio
ELEC2134,Circuits and Signals
CRIM3028,Imagining a More Just Future
ZEIT4901,Engineering Research 4A
MECH4100,Mechanical Design 2
SOCF5109,Family Inclusive Practice
INTA3003,Interior Architecture Critical Perspectives 3
HDAT9910,Health Data Science: Capstone
EDST5150,Teacher Language Awareness
FINS3635,"Options, Futures and Risk Management"
COMM5005,Quantitative Methods for Business
PSYC7231,Research Thesis (Clinical) 2
COMM5501,Data Visualisation and Communication
FINS3616,International Business Finance
COMP9814,Extended Artificial Intelligence
CEIC9452,Postgraduate Research Project B
IEST5021,"Corporations, Capitalism, & Transforming Environments"
DART3331,Peripheral Visions: The Ethnographic Camera
LAWS3302,Land and Environment Court Clinic
ARTS2367,Thinking Through Art
EXPT2137,Functional Anatomy and Biomechanics 3
DART9002,VFX Studio
CEIC9951,Advanced Research Thesis A
MDIA1005,Creative Sound Design
MATH5295,Special Topics in Applied Mathematics D
MDIA2095,The Networked Self
ARTS2249,Environmental Philosophy
CHEM1061,"Higher Chemistry 1B (Medicinal): Elements, Compounds and Life"
ELEC4602,Microelectronic Design and Technology
PLTX1020,Skills in Practice
FINS2615,Intermediate Business Finance
MUSC1807,Music Literacies 1
ZPEM8103,Explosive Ordnance Research Project
LAND7101,Master Landscape Studio 1: Site Planning - Landscape Performance and Site Design
PHCM2006,Public Health Policy and Programs
LAWS3751,Taxation Law
VISN5511,"The Visual System, Impairments and Implications"
LAWS2383,Land Law
EDST5141,Critically Engaging with Indigenous Education
EDST6920,Ancient History Method 1
OPTM7612,Myopia Management
ARTS3821,The Politics of Identity in the 21st Century
JURD7610,International Commercial Mediation Competition
ELEC4632,Computer Control Systems
