"course_code","sdg_number","sdg_name","addressed","target_number","target_name","justification","timestamp"
"MGMT5613","12","Responsible Consumption and Production","Yes","12.6","Integrate sustainability information into reporting","The course aims to develop understanding of the ""sustainability of competitive advantage in a dynamic institutional and environmental context"" and a reflective assignment task requires students to ""describe the strategy settings that ensure that long term value creation to drive growth is done as sustainably as possible,"" indicating a focus on integrating sustainability considerations into business practices within value chains.","2025-04-29 19:28:31.052587"
"MGMT5613","17","Partnerships for the Goals","Yes","17.17","Encourage effective partnerships","Course Learning Outcome 6 is to ""Collaborate effectively with other students from diverse cultural backgrounds in a team-based setting and work cohesively to demonstrate how organisations create best practices in value activities,"" which directly involves developing skills in partnership and collaboration.","2025-04-29 19:28:31.052634"
"MGMT5613","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:28:31.054057"
"EDST1104","4","Quality Education","Yes","4.5","Eliminate discrimination in education","The course explicitly addresses ""inequalities based on social, cultural, economic, and gender differences"" and requires students to ""Identify and explain the relationships between family background factors such as SES, race and gender and the educational outcomes of school students"" (CLO1). It also requires students to ""Examine, discuss and evaluate education policies such as those relating to low-SES, race, and multiculturalism"" (CLO3) and to ""Describe and justify the approach you would take to your work in this school to be inclusive of students in relation to the characteristics discussed in Parts A and B"" in the Research Report, directly supporting the elimination of discrimination in education.","2025-04-29 19:28:38.329465"
"EDST1104","5","Gender Equality","Yes","5.1","End discrimination against women and girls","The course explicitly addresses ""inequalities based on... gender differences"" in the Course Description and requires students to ""Identify and explain the relationships between family background factors such as SES, race and gender and the educational outcomes of school students"" (CLO1), directly addressing discrimination based on gender in education.","2025-04-29 19:28:38.329540"
"EDST1104","10","Reduced Inequalities","Yes","10.2","Promote universal social, economic and political inclusion","The course explicitly focuses on ""equity and social justice as key themes"" and aims for students to develop a ""critical understanding of how education, teachers and teaching interact with society"" in relation to ""inequalities based on social, cultural, economic, and gender differences"". CLO1, CLO2, and CLO3 all directly address understanding and evaluating relationships and policies related to differences and inequalities in educational outcomes, which promotes understanding of social inclusion.","2025-04-29 19:28:38.329629"
"EDST1104","16","Peace, Justice and Strong Institutions","Yes","16.b","Promote and enforce non-discriminatory laws and policies","The course requires students to ""Examine, discuss and evaluate education policies such as those relating to low-SES, race, and multiculturalism"" (CLO3) and to reference ""relevant policy"" in their Research Report when describing inclusive teaching approaches. This direct engagement with evaluating policies related to social justice and equity in education supports the promotion of non-discriminatory policies within the education system.","2025-04-29 19:28:38.329712"
"EDST1104","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:28:38.331468"
"MINE8445","3","Good Health and Well-being","Yes","3.9","Reduce deaths and illnesses from hazardous chemicals and pollution","The course description states the research foundation provides a basis on which to design a ""safe"" solution. While general, this explicitly links the research to safety, which can contribute to reducing health risks associated with mining operations.","2025-04-29 19:28:43.852474"
"MINE8445","4","Quality Education","Yes","4.4","Skills for employment","The course aims to ""develop the capability and requisite skills of an engineer"" and prepares students to ""prepare a conference paper"" and ""an examiner copy of the thesis and final corrected thesis submission,"" which are skills directly relevant to professional employment in the mining industry.","2025-04-29 19:28:43.852536"
"MINE8445","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance research and upgrade industrial technologies","The course is a ""Mining Industry Research Project"" intended to ""extend their research capabilities with a mining industry collaborator"" and ""build a foundation of knowledge related to a particular problem in mining engineering,"" directly supporting research and potentially upgrading industrial technologies through the application of research findings.","2025-04-29 19:28:43.852601"
"MINE8445","17","Partnerships for the Goals","Yes","17.9","Enhance international support for implementing effective and targeted capacity-building in developing countries to support national plans to implement all the Sustainable Development Goals, including through North-South, South-South and triangular cooperation.","The course explicitly requires ""Industry support is essential for this research project"" and involves working ""with a mining industry collaborator,"" demonstrating a partnership approach which is a core element of this target, even if not explicitly focused on developing countries.","2025-04-29 19:28:43.852701"
"MINE8445","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:28:43.854182"
"MGMT5803","8","Decent Work and Economic Growth","Yes","8.2","Diversify, technologize and innovate for economic productivity","The course explicitly focuses on ""Business Innovation"" and how it can be used to ""drive business operations, strategy, culture and prosperity,"" and aims to ""Demonstrate ingenuity, creativity, invention, and innovation, and how they address complex business challenges and drive business transformation,"" directly supporting innovation for economic productivity.","2025-04-29 19:28:47.100276"
"MGMT5803","12","Responsible Consumption and Production","Yes","12.2","Sustainable management and efficient use of natural resources","The course aims to ""Demonstrate how ethical, responsible, and sustainable innovation practices contribute to transformation and growth across diverse sectors and organisations,"" directly linking innovation practices to sustainability.","2025-04-29 19:28:47.100375"
"MGMT5803","17","Partnerships for the Goals","Yes","17.17","Encourage effective partnerships","The course includes a ""Business Innovation Team Project"" where students ""Operate collaboratively with team members and build the capacity to engage and enable others to contribute towards achieving desired results,"" directly encouraging effective partnerships through teamwork.","2025-04-29 19:28:47.100425"
"ZEIT2602","6","Clean Water and Sanitation","Yes","6.3","Improve water quality","The course explicitly covers ""pipe flow and pipe networks to determine flow rates and pressures (heads) throughout a network"" and ""handling of frictional energy losses in channel flows and analyse channel flows"". This knowledge is fundamental to designing and analyzing water distribution and management systems, which directly contributes to improving water quality by ensuring efficient and controlled movement of water.","2025-04-29 19:28:50.173032"
"ZEIT2602","9","Industry, Innovation and Infrastructure","Yes","9.1","Develop quality, reliable, sustainable and resilient infrastructure","The course focuses on ""fundamental aspects of fluid mechanics and hydraulics"" and their application in ""civil engineering, including friction and minor losses in single pipelines and pipe networks, pump-pipe systems and open channel flow"". This provides students with the essential knowledge and skills to design and analyze critical infrastructure components like pipelines and channels, directly supporting the development of quality and reliable infrastructure.","2025-04-29 19:28:50.173101"
"ZEIT2602","11","Sustainable Cities and Communities","Yes","11.5","Reduce the adverse per capita environmental impact of cities","The course covers ""pipe flow and pipe networks"" and ""open channel flow"", including ""friction losses and conservation of energy and momentum principles"". Understanding and analyzing these systems is crucial for managing urban water infrastructure, which is essential for reducing the environmental impact of cities related to water usage and drainage.","2025-04-29 19:28:50.173157"
"ZEIT2602","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:28:50.175539"
"TABL5551","4","Quality Education","Yes","4.4","Skills for employment, decent jobs and entrepreneurship","The course aims for students to ""understand and be able to apply relevant Australian tax legislation, cases, rulings and principles, to the solution of typical tax-related professional problems,"" directly contributing to skills for employment in the taxation field.","2025-04-29 19:28:54.551621"
"TABL5551","16","Peace, Justice, and Strong Institutions","Yes","16.6","Effective, accountable and transparent institutions","The course involves understanding and applying ""Australian tax legislation, cases, rulings and principles"" and analyzing how tax law rules are applied by ""judges in court cases and by members of relevant tribunals,"" which directly relates to the functioning of accountable and transparent legal and governmental institutions.","2025-04-29 19:28:54.551692"
"ENTR9002","4","Quality Education","Yes","4.4","Skills for employment","The course aims to ""equip students with the skills needed to build a scalable and sustainable startup venture"" and provides ""foundational understanding of the tools and methodologies for assessing and testing business models,"" directly contributing to developing skills for entrepreneurship and employment.","2025-04-29 19:28:58.291486"
"ENTR9002","8","Decent Work and Economic Growth","Yes","8.3","Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.","The course explicitly focuses on ""Launching a new venture,"" ""de-risking a startup venture,"" and equipping students with ""skills needed to build a scalable and sustainable startup venture,"" directly promoting entrepreneurship and the potential for creating micro-, small-, and medium-sized enterprises.","2025-04-29 19:28:58.291564"
"ENTR9002","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance scientific research, upgrade the technological capabilities of industrial sectors in all countries, including, inter alia, encouraging innovation and substantially increasing the number of research and development workers per 1 million people and public and private research and development spending.","The course focuses on ""Lean Startup Methodologies,"" ""design experiments to validate business hypotheses,"" ""rapid experimentation, and iterative development,"" and defining a ""Minimum Viable Product (MVP),"" which are core concepts and techniques for innovation and upgrading technological capabilities within ventures.","2025-04-29 19:28:58.291636"
"ENTR9002","17","Partnerships for the Goals","Yes","17.11","Significantly increase the exports of developing countries, in particular with a view to doubling the least developed countries’ share of global exports by 2020.","The course includes a learning outcome on ""Global Perspective on Startups,"" where students ""explore the complexities in launching a startup in a global context"" and ""identify and navigate the unique cultural, regulatory, and market variations in different international settings,"" which is relevant for understanding and potentially engaging in international trade and market access.","2025-04-29 19:28:58.291715"
"ENTR9002","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:28:58.292941"
"AVIG5911","4","Quality Education","Yes","4.4","Skills for employment","The outline explicitly states the course ""aims to help students develop an understanding of the fundamentals of aviation... while passing all applicable Civil Aviation Safety Authority (CASA) theory examinations and laying the basis for later advanced studies"" and that students will ""achieve the theory and practical requirements for the issue of a Private Pilot Licence"". This directly aligns with providing skills for employment in the aviation sector.","2025-04-29 19:29:03.206456"
"AVIG5911","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:03.207831"
"PTRL5022","4","Quality Education","Yes","4.3","Equal access to technical, vocational and higher education","The outline describes a ""Postgraduate"" level course with ""Lectures, workshops and design projects"" and ""Assignments, Project, Midterm Exam, Final Exam"" as assessment methods, indicating a structured higher education program.","2025-04-29 19:29:07.609624"
"PTRL5022","9","Industry, Innovation and Infrastructure","Yes","9.4","Upgrade infrastructure and retrofit industries to be sustainable","The course aims to enable students to ""apply the theory to the design, evaluation and optimization of casing program, well trajectory and drilling program,"" which involves upgrading and optimizing infrastructure within the drilling industry.","2025-04-29 19:29:07.609680"
"PTRL5022","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:07.610812"
"GEOS1211","6","Clean Water and Sanitation","Yes","6.6","Protect and restore water-related ecosystems","The course explicitly covers ""soil hydrology, and groundwater science"" and involves ""field and laboratory observations of environmental and earth science processes"" related to these topics, which directly contributes to understanding and potentially protecting water-related ecosystems.","2025-04-29 19:29:09.965910"
"GEOS1211","11","Sustainable Cities and Communities","Yes","11.4","Protect the world’s cultural and natural heritage","The outline states the course investigates ""the geology of Sydney... and how it relates to the city’s development and geoheritage,"" directly addressing the protection of natural heritage within a city context.","2025-04-29 19:29:09.965967"
"GEOS1211","15","Life on Land","Yes","15.1","Conserve and restore terrestrial and freshwater ecosystems","The course explicitly covers ""soil hydrology"" and involves ""field and laboratory observations of environmental and earth science processes,"" which are fundamental to understanding and potentially conserving terrestrial ecosystems.","2025-04-29 19:29:09.966007"
"GEOS1211","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:09.967177"
"JURD7685","4","Quality Education","Yes","4.4","Skills for employment","The outline states the course ""will equip you with the knowledge and the tools – critical analysis, teamwork and communication skills"" and ""illuminate emerging career pathways at the intersection of circular economies, social activism and public policy"", directly supporting the development of skills for employment.","2025-04-29 19:29:14.573780"
"JURD7685","11","Sustainable Cities and Communities","Yes","11.3","Inclusive and sustainable urbanization","The course description explicitly states it ""explores the role of law and regulation in supporting sustainable cities and communities"" and begins with an ""overview of key issues for law, regulation and economic development raised by the goal of ‘making cities and human settlements inclusive, safe, resilient and sustainable’, as framed by Sustainable Development Goal No.11"", directly addressing this target.","2025-04-29 19:29:14.573866"
"JURD7685","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:14.575092"
"ZEIT4013","4","Quality Education","Yes","4.4","Skills for employment","The outline explicitly states the course aims to provide students with ""practical skills in analytically and computationally predicting important behaviours of hypersonic flows"" and ""design a hypersonic ground testing facility"", which are directly applicable skills for employment in relevant engineering fields.","2025-04-29 19:29:18.197850"
"ZEIT4013","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance scientific research, upgrade technological capabilities","The course description states students will ""investigate a chosen hypersonic system"" and culminate in the ""design of a ground test facility suitable for that system"", directly contributing to enhancing scientific research and technological capabilities in the field of hypersonics.","2025-04-29 19:29:18.197917"
"ZEIT4013","16","Peace, Justice and Strong Institutions","Yes","16.a","Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, for preventing violence and combating terrorism and crime","CLO1 states students will ""Assess the technological, scientific, societal, political, tactical, and strategic characteristics of hypersonic vehicle systems"". While the primary focus is technical, the explicit inclusion of ""tactical, and strategic characteristics"" and ""political, and societal aspects of hypersonic technologies"" in the course description indicates an assessment of the broader implications of these technologies, which can contribute to understanding the context for strengthening national institutions related to security and defense.","2025-04-29 19:29:18.198013"
"ZEIT4013","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:18.199382"
"SENG3011","4","Quality Education","Yes","4.4","Skills for employment, decent jobs and entrepreneurship","The course aims to ""teach students to work in teams using agile methods and apply their theoretical knowledge to solve real-life problems"" and requires students to ""use modern technologies and tools that are used in industry to build robust, performant and scalable software services"". This directly aligns with developing skills for employment in the software engineering industry.","2025-04-29 19:29:22.459188"
"SENG3011","8","Decent Work and Economic Growth","Yes","8.2","Diversify, technologize and innovate for economic productivity","The course focuses on using ""modern technologies and tools that are used in industry to build robust, performant and scalable software services"" and exploring ""modern DevOps and software toolchains used in industry development"". This directly contributes to technological advancement and innovation relevant to economic productivity.","2025-04-29 19:29:22.459272"
"SENG3011","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance scientific research, upgrade technological capabilities of industrial sectors","The course explicitly focuses on ""using modern technologies and tools that are used in industry to build robust, performant and scalable software services"" and exploring ""modern DevOps and software toolchains used in industry development"". This directly contributes to upgrading technological capabilities within industrial sectors.","2025-04-29 19:29:22.459358"
"SENG3011","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:22.460745"
"PHAR3101","3","Good Health and Well-being","Yes","3.b","Support the research and development of vaccines and medicines","The course description explicitly states it ""will explore the process of drug discovery and development, from project and target identification to final drug registration"" and aims to ""Gain an understanding of the processes involved in developing a new therapeutic"". This directly aligns with supporting the research and development of medicines.","2025-04-29 19:29:25.837645"
"PHAR3101","4","Quality Education","Yes","4.4","Skills for employment","The course description states students ""will learn about some of the many different career options spanning all aspects of pharmacology"" and aims to ""Explore the different careers / roles available across the pharmaceutical industry"". Assessment item ""Career opportunities within the drug development industry"" also directly addresses this. This explicitly focuses on developing skills and knowledge relevant to employment in the pharmaceutical industry.","2025-04-29 19:29:25.837705"
"PHAR3101","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance scientific research, upgrade the technological capabilities of industrial sectors","The course description mentions learning about ""computational and artificial intelligence roles"" and how professional roles ""collaborate to create a highly innovative... drug discovery landscape"". Course Learning Outcome 4 describes ""how they interact to enable innovation... within the pharmaceutical industry"". This explicitly links the course content to enhancing scientific research and innovation within the pharmaceutical industry sector.","2025-04-29 19:29:25.837763"
"PHAR3101","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:25.839046"
"LAWS8105","16","Peace, Justice and Strong Institutions","Yes","16.b","Promote and enforce non-discriminatory laws and policies for sustainable development","The course explicitly states it will ""investigate the social relations which mediate between the juvenile justice system and the young people who are brought before it by focussing on gender, race and class."" By focusing on how gender, race, and class mediate interactions with the juvenile justice system, the course directly addresses potential discrimination within the legal and policy framework, contributing to the promotion of non-discriminatory approaches.","2025-04-29 19:29:28.223124"
"LAWS8105","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:28.224493"
"GMAT3150","4","Quality Education","Yes","4.4","Skills for employment","The course aims ""To broaden and deepen the knowledge of surveying instrumentation, field methods, and surveying software"" and involves students conducting field surveys and processing data, which directly contributes to developing ""relevant skills, including technical and vocational skills, for employment"".","2025-04-29 19:29:33.319480"
"GMAT3150","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:33.320305"
"ZBUS8101","4","Quality Education","Yes","4.4","Skills for employment","The outline explicitly states that the course aims to make students ""conversant with the way companies make business-defining decisions"" and that upon completion, students ""will be able to assess and to positively engage with companies’ and organisations’ strategic decision making,"" which directly relates to developing skills for employment in strategic management roles.","2025-04-29 19:29:38.227787"
"ZBUS8101","12","Responsible Consumption and Production","Yes","12.6","Integrate sustainability information","The outline explicitly states that the course ""also addresses corporate social responsibility in strategic management"" and that students will develop ""responsible business thinking and approaches, which are underpinned by ethical professional practice and sustainability considerations,"" directly supporting the integration of sustainability information into business practices.","2025-04-29 19:29:38.227855"
"ZBUS8101","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:38.229023"
"CHEM3011","4","Quality Education","Yes","4.4","Skills for employment, decent jobs and entrepreneurship","The course aims to ""prepare students for research activities in the use of physical and computational techniques"" and provides ""opportunities to acquire and practice the basic skills of practical physical chemistry"" and ""acquire the essential skills of contemporary computational chemistry,"" directly contributing to skills relevant for employment.","2025-04-29 19:29:43.191389"
"CHEM3011","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:43.192696"
"ZBUS1101","4","Quality Education","Yes","4.4","Skills for employment","The course aims to ""equip you with the foundational knowledge necessary to understand human behaviour in organisational settings"" and ""be successful in managing people,"" which directly relates to developing skills for employment.","2025-04-29 19:29:48.058285"
"ZBUS1101","10","Reduced Inequalities","Yes","10.3","Ensure equal opportunity","The course explicitly includes 'Privilege, Diversity and Inclusion' as a topic, which directly relates to understanding and potentially addressing inequalities within organisations.","2025-04-29 19:29:48.058351"
"ZBUS1101","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:48.059646"
"MUSC2802","4","Quality Education","Yes","4.c","Qualified teachers","The course is focused on ""Music studio teaching"" and aims to develop the ability to ""articulate and explain their specialist skills and knowledge to learners"" and to ""appraise, evaluate and apply aspects of professional and research knowledge as you develop you individual approaches to practice,"" directly contributing to the training and development of qualified music teachers.","2025-04-29 19:29:51.380039"
"MUSC2802","10","Reduced Inequalities","Yes","10.2","Promote universal inclusion","The mandatory attendance requirements state that ""Only through ongoing engagement with peers can students develop effective skills to communicate, collaborate with, and lead others, including the ability to negotiate cultural differences and the awareness to act ethically and respectfully around others,"" and explicitly mentions aligning with Program Learning Outcomes that include ""Engage sensitively with diverse cultural perspectives"" and ""Contribute to contemporary creatives fields through self-reflexive, ethical, and sustainable practices that incorporate principles of equity, diversity, and inclusion,"" directly promoting inclusion.","2025-04-29 19:29:51.380128"
"MUSC2802","16","Peace, Justice and Strong Institutions","Yes","16.b","Promote non-discrimination","The mandatory attendance requirements state that ""Only through ongoing engagement with peers can students develop effective skills to communicate, collaborate with, and lead others, including the ability to negotiate cultural differences and the awareness to act ethically and respectfully around others,"" and explicitly mentions aligning with Program Learning Outcomes that include ""Act ethically, respectfully and responsibly,"" directly promoting non-discrimination.","2025-04-29 19:29:51.380192"
"MUSC2802","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:51.381651"
"COMP9021","4","Quality Education","Yes","4.4","Skills for employment","The course aims to provide students with ""practical skills of both generic programming techniques and Python programming, to be used effectively in the many specialised courses that expect students to have acquired strong enough programming skills"" and to ""become proficient in the programming language Python... to design solutions to a broad range of problems and implement those solutions... using appropriate programming techniques and tools."" This directly aligns with equipping students with relevant skills for employment.","2025-04-29 19:29:54.299993"
"COMP9021","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance research and upgrade industrial technologies","The course provides ""solid conceptual knowledge and practical skills of both generic programming techniques and Python programming"" and covers ""fundamental data structures and algorithms"". These are foundational skills for developing and applying technology, which is essential for enhancing research and upgrading industrial technologies.","2025-04-29 19:29:54.300065"
"COMP9021","12","Responsible Consumption and Production","Yes","12.5","Reduce waste generation","The course includes learning outcomes such as ""Analyse what happens behind the scene when operating on Python data types, with an understanding of efficiency and memory use"" and ""Create clear, reliable, well-structured, well-tested, well-documented programs"". Understanding efficiency and creating reliable code can contribute to reducing the computational resources and energy required for software, which indirectly supports reducing waste generation in the digital realm.","2025-04-29 19:29:54.300138"
"COMP9021","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:54.303583"
"VISN2211","3","Good Health and Well-being","Yes","3.4","Non-communicable diseases and mental health","The course aims to develop understanding of the human visual system and its functioning, which is directly relevant to addressing visual impairments and conditions, contributing to overall health and well-being. The course learning outcomes include demonstrating understanding of behavioural vision science to complement optometric practices (CLO1) and applying knowledge of neural mechanisms to broader issues in optometry (CLO2), which are directly linked to diagnosing and managing visual health issues.","2025-04-29 19:29:59.042485"
"VISN2211","4","Quality Education","Yes","4.3","Technical, vocational and tertiary education","The course is a core component of undergraduate Bachelor of Vision Science and Bachelor of Vision Science/Master of Clinical Optometry programmes, providing theoretical knowledge and practical skills (conducting research, analysing data, communicating findings - CLO5) essential for careers in vision science and optometry.","2025-04-29 19:29:59.042545"
"VISN2211","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:59.043766"
"SOLA5051","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:29:59.733579"
"SWCH9004","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:00.448416"
"ZEIT8029","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:01.267590"
"INFS3020","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:01.985708"
"CODE2170","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:02.804847"
"ZEIT4297","4","Quality Education","Yes","4.4","Skills for employment","The course aims to ""provide an opportunity for undergraduate students to integrate all technical and management knowledges gained during their studies"" and includes learning outcomes such as ""Demonstrate in-depth knowledge of a niche research area"" and ""Exhibit communication skills for oral seminar, oral panel, and written medium,"" which directly contribute to developing relevant skills for employment in engineering.","2025-04-29 19:30:08.129297"
"ZEIT4297","9","Industry, Innovation and Infrastructure","Yes","9.5","Enhance research and upgrade industrial technologies","The course is an ""in-depth research investigation in an engineering topic selected by the students"" and requires students to ""Demonstrate in-depth knowledge of a niche research area"" and ""Indicated an insight into the diversity of Engineering through a course in specialist lectures,"" directly contributing to research and potentially enhancing industrial technologies through the project specific deliverable which may include ""electronic working files and designs.""","2025-04-29 19:30:08.129394"
"ZEIT4297","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:08.130921"
"MICR3621","3","Good Health and Well-being","Yes","3.9","Reduce deaths and illnesses from hazardous chemicals and pollution","The course covers ""Molecular epidemiology"" and ""Gut microbiomes"", and discusses the ""socioeconomic impact of microbial genetics"". This knowledge can contribute to understanding and mitigating health risks associated with microbes, aligning with reducing illness from biological hazards.","2025-04-29 19:30:12.942607"
"MICR3621","4","Quality Education","Yes","4.4","Skills for employment","The course aims to provide ""opportunities for students to gain knowledge and insight into the scientific developments of today’s front-line research"" and includes practical components to ""Perform microbial genetics experiments to generate data"". These activities directly contribute to developing skills relevant for future employment in scientific fields.","2025-04-29 19:30:12.942695"
"MICR3621","15","Life on Land","Yes","15.1","Conserve and restore terrestrial and freshwater ecosystems","The course includes ""Genomics of Environmental Microbiology (Terrestrial)"" as a lecture topic. Understanding the genetics of terrestrial microbes is fundamental to conserving and restoring terrestrial ecosystems.","2025-04-29 19:30:12.942764"
"MICR3621","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:12.944160"
"SOSS3008","4","Quality Education","Yes","4.4","Skills for employment","The outline states students will ""Locate, assess and analyse relevant evidence and information related to public policy in the national and international spheres"" and produce a ""Policy Brief"" for a relevant minister, indicating the development of skills directly applicable to policy-related employment.","2025-04-29 19:30:17.448555"
"SOSS3008","16","Peace, Justice, and Strong Institutions","Yes","16.6","Effective, accountable and transparent institutions","The course examines ""the policy-making process and identify points at which international factors impact on domestic policy capacity"" and ""Explain the roles played by institutions and actors, both domestic and international, in the policy process"", directly contributing to understanding and potentially improving institutional effectiveness and accountability in policy making.","2025-04-29 19:30:17.448638"
"SOSS3008","17","Partnerships for the Goals","Yes","17.14","Policy coherence for sustainable development","The course examines ""the intersections between international and domestic policy making"" and explores ""the factors that interfere with intergovernmental cooperation and coordination and evaluate the ways in which policy makers respond to global policy challenges"", directly addressing the need for policy coherence between different levels and actors.","2025-04-29 19:30:17.448695"
"SOSS3008","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:17.450062"
"ARTS2066","4","Quality Education","Yes","4.4","Skills for employment, decent jobs and entrepreneurship","The outline states the course provides ""training... knowledge and skills developed... will help you develop the confidence to tell stories for the screen in a fresh and engaging way"" and explores ""key screen industry conventions,"" directly supporting the development of skills relevant to employment in the screenwriting field.","2025-04-29 19:30:21.543351"
"ARTS2066","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:21.544714"
"ECON4100","4","Quality Education","Yes","4.7","Education for sustainable development and global citizenship","The program learning outcome ""Responsible Business Practice"" is explicitly listed, indicating an intention to educate students on ethical and responsible considerations within a business context, which aligns with education for sustainable development.","2025-04-29 19:30:24.968051"
"ECON4100","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:24.969524"
"PHYS4200","4","Quality Education","Yes","4.4","Skills for employment, decent jobs and entrepreneurship","The outline states the course ""serves as an entry point into physics research for motivated students"" and aims to build ""self-efficacy and image of themselves as future researchers,"" directly contributing to developing skills relevant for future employment in research fields.","2025-04-29 19:30:28.951303"
"PHYS4200","0","analysed","analysed","analysed","analysed","analysed","2025-04-29 19:30:28.952849"
